               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027722,           0.0056958,                   0,             0.97982,             0.91525,             0.94923,             0.67045,            0.022799,           0.0028761,                   0,              0.0865,              0.0015,              0.0015
                   1,            0.026539,           0.0058579,                   0,             0.99606,             0.91525,             0.95123,             0.67021,            0.022885,           0.0028335,                   0,            0.072039,           0.0030386,           0.0030386
                   2,            0.026611,           0.0052153,                   0,             0.99394,             0.92631,             0.95211,             0.66593,             0.02276,           0.0028387,                   0,            0.057514,           0.0045139,           0.0045139
                   3,            0.027984,           0.0056181,                   0,             0.98799,             0.92968,             0.95271,             0.64065,            0.024828,            0.002862,                   0,            0.042926,           0.0059258,           0.0059258
                   4,            0.031897,           0.0056897,                   0,             0.98688,              0.9209,             0.95184,             0.59031,            0.027692,           0.0029425,                   0,            0.028274,           0.0072743,           0.0072743
                   5,            0.030766,           0.0062699,                   0,             0.97607,             0.92182,              0.9445,             0.57088,             0.02847,           0.0029879,                   0,             0.01356,           0.0085595,           0.0085595
                   6,            0.032449,           0.0055355,                   0,             0.99567,             0.89266,             0.93948,             0.51568,            0.034497,           0.0030928,                   0,            0.008812,            0.008812,            0.008812
                   7,            0.035913,           0.0061445,                   0,             0.96318,             0.88667,             0.92512,              0.4862,             0.03419,           0.0032007,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.033172,           0.0063195,                   0,             0.98779,             0.91428,             0.93993,             0.58107,            0.030393,           0.0031405,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.030438,           0.0056871,                   0,              0.9696,              0.9209,             0.93865,             0.61779,             0.02819,           0.0030764,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.031053,           0.0055521,                   0,              0.9728,             0.90395,             0.93432,              0.5698,            0.030933,           0.0031155,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.029595,           0.0063874,                   0,             0.96985,             0.90878,             0.93349,             0.60336,            0.029495,           0.0031172,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.028053,           0.0060227,                   0,             0.98099,             0.89831,             0.93028,             0.55428,            0.028099,           0.0031144,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.029162,           0.0062065,                   0,              0.9756,             0.90354,              0.9324,             0.53775,            0.030167,           0.0031283,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.027967,           0.0047672,                   0,             0.97001,             0.91362,              0.9316,             0.60669,            0.028215,           0.0031487,                   0,            0.007426,            0.007426,            0.007426
                  15,              0.0289,           0.0056587,                   0,              0.9759,             0.91521,             0.94063,             0.61378,            0.027732,           0.0031463,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.026122,           0.0055687,                   0,             0.97959,             0.92655,              0.9361,             0.55595,            0.029985,           0.0032087,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.029146,           0.0051456,                   0,             0.98187,              0.9179,             0.93893,             0.62308,             0.02755,            0.003253,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.025385,           0.0048518,                   0,             0.97508,              0.9209,             0.93817,             0.62444,            0.027506,           0.0032622,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.027214,           0.0057379,                   0,             0.97563,             0.90465,             0.93553,             0.59224,            0.028194,           0.0032833,                   0,            0.006436,            0.006436,            0.006436
                  20,              0.0277,           0.0054411,                   0,             0.96735,              0.9209,              0.9303,             0.57703,            0.027841,           0.0032372,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.028247,           0.0050679,                   0,               0.981,              0.9209,             0.93696,             0.52427,            0.031079,            0.003295,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.02832,           0.0055256,                   0,             0.98783,             0.91709,             0.93416,             0.63484,            0.025884,           0.0033055,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.024366,           0.0053309,                   0,             0.98161,             0.90487,             0.93905,             0.64338,            0.026034,           0.0033082,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.024858,           0.0051353,                   0,             0.96445,             0.91952,             0.94113,             0.64226,            0.026686,           0.0033216,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.024079,           0.0047039,                   0,             0.97898,             0.91525,             0.94221,             0.66348,            0.025682,           0.0032624,                   0,            0.005248,            0.005248,            0.005248
